epoch,lr,time,loss
0,0.001,22:13:17,1410.2533174672521
1,8.3125e-06,22:14:50,941.7497030846158
2,1.6625e-05,22:16:22,703.3975452623869
3,2.49375e-05,22:17:47,516.0417709924225
4,3.325e-05,22:19:11,454.5056051383341
5,4.15625e-05,22:20:43,417.2372062511014
6,4.9875e-05,22:22:08,390.0282988584131
7,5.81875e-05,22:23:35,360.10267145830886
8,6.65e-05,22:24:59,334.92666958687
9,7.48125e-05,22:26:23,307.1136447074718
10,8.3125e-05,22:27:46,281.6891463430304
11,9.143749999999999e-05,22:29:08,261.03178348397853
12,9.975e-05,22:30:33,246.04986302655442
13,0.00010806249999999999,22:31:57,237.7108526014744
14,0.000116375,22:33:19,228.30741417676882
